epoch,run,val
0,test,0.5
1,test,0.5
2,test,0.5
3,test,0.6700000166893005
4,test,0.6200000047683716
5,test,0.75
6,test,0.7900000214576721
7,test,0.9649999737739563
8,test,1.0
9,test,1.0
10,test,1.0
11,test,1.0
12,test,1.0
13,test,1.0
14,test,1.0
15,test,1.0
16,test,1.0
17,test,1.0
18,test,1.0
19,test,1.0
20,test,1.0
21,test,1.0
22,test,1.0
23,test,1.0
24,test,1.0
25,test,1.0
26,test,1.0
27,test,1.0
28,test,1.0
29,test,1.0
30,test,1.0
31,test,1.0
32,test,1.0
33,test,1.0
34,test,1.0
35,test,1.0
36,test,1.0
37,test,1.0
38,test,1.0
39,test,1.0
40,test,1.0
41,test,1.0
42,test,1.0
43,test,1.0
44,test,1.0
45,test,1.0
46,test,1.0
47,test,1.0
48,test,1.0
49,test,1.0
50,test,1.0
51,test,1.0
52,test,1.0
53,test,1.0
54,test,1.0
55,test,1.0
56,test,1.0
57,test,1.0
58,test,1.0
59,test,1.0
0,train,0.42100000381469727
1,train,0.5
2,train,0.5
3,train,0.5
4,train,0.6890000104904175
5,train,0.5759999752044678
6,train,0.75
7,train,0.7919999957084656
8,train,0.9810000061988831
9,train,0.9994999766349792
10,train,1.0
11,train,1.0
12,train,1.0
13,train,1.0
14,train,1.0
15,train,1.0
16,train,1.0
17,train,1.0
18,train,1.0
19,train,1.0
20,train,1.0
21,train,1.0
22,train,1.0
23,train,1.0
24,train,1.0
25,train,1.0
26,train,1.0
27,train,1.0
28,train,1.0
29,train,1.0
30,train,1.0
31,train,1.0
32,train,1.0
33,train,1.0
34,train,1.0
35,train,1.0
36,train,1.0
37,train,1.0
38,train,1.0
39,train,1.0
40,train,1.0
41,train,1.0
42,train,1.0
43,train,1.0
44,train,1.0
45,train,1.0
46,train,1.0
47,train,1.0
48,train,1.0
49,train,1.0
50,train,1.0
51,train,1.0
52,train,1.0
53,train,1.0
54,train,1.0
55,train,1.0
56,train,1.0
57,train,1.0
58,train,1.0
59,train,1.0
